Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SalePrice_log,MSSubClass_target_enc,MSZoning_target_enc,Neighborhood_target_enc,Condition1_target_enc,Condition2_target_enc,BldgType_target_enc,HouseStyle_target_enc,RoofStyle_target_enc,Exterior1st_target_enc,Exterior2nd_target_enc,Foundation_target_enc,SaleType_target_enc,SaleCondition_target_enc,Street_target_enc,LotConfig_target_enc,LandSlope_target_enc,Functional_target_enc,MasVnrType_target_enc,GarageType_target_enc,CentralAir_N,CentralAir_Y,PavedDrive_N,PavedDrive_P,PavedDrive_Y,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Utilities_AllPub,Utilities_NoSeWa,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtExposure_None,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall
1,60,RL,65.0,8450,Pave,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003-01-01,2003-01-01,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,4,3,,706,,0,150,856,5,856,854,0,1710,1,0,2,1,3,1,4,8,Typ,0,4,Attchd,2003-01-01,RFn,2,548,3,3,0,61,0,0,0,0,0,2,2008-01-01,WD,Normal,208500,12.247694320220994,235462.46639557104,187497.16578693656,192647.25239517994,181854.0157285595,178286.82894767178,182422.8985545343,206298.35982034856,168960.11396163498,215087.49394043538,215639.7293194377,221947.83308264182,168800.81863802517,170744.766171846,177930.18077380542,174413.86578349545,177502.68903864766,180645.18653429346,169442.10236645662,199024.493440907,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,20,RL,80.0,9600,Pave,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976-01-01,1976-01-01,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,3,3,CBlock,4,3,,978,,0,284,1262,5,1262,0,0,1262,0,1,2,0,3,1,3,6,Typ,1,3,Attchd,1976-01-01,RFn,2,460,3,3,298,0,0,0,0,0,0,5,2007-01-01,WD,Normal,181500,12.109010932687042,183220.12629763645,188117.14266198743,210585.46712976947,141081.3811912951,178583.60913411377,182294.9984742077,174792.93454186135,170831.95883496347,151042.40629733022,151961.00308466726,147693.47573999345,170439.80277871882,172961.08799554026,178304.61558859114,173809.19408674483,177562.818510861,180395.79248117236,169635.87309320696,200966.59844319642,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,60,RL,68.0,11250,Pave,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001-01-01,2002-01-01,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,4,3,,486,,0,434,920,5,920,866,0,1786,1,0,2,1,3,1,4,6,Typ,1,3,Attchd,2001-01-01,RFn,2,608,3,3,0,42,0,0,0,0,0,9,2008-01-01,WD,Normal,223500,12.31716669303576,235462.46639557104,187497.16578693656,192647.25239517994,181854.0157285595,178286.82894767178,182422.8985545343,206298.35982034856,168960.11396163498,215087.49394043538,215639.7293194377,221947.83308264182,168800.81863802517,170744.766171846,177930.18077380542,174413.86578349545,177502.68903864766,180645.18653429346,169442.10236645662,199024.493440907,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4,70,RL,60.0,9550,Pave,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915-01-01,1970-01-01,Gable,CompShg,Wd Sdng,Wd Shng,BrkFace,0.0,3,3,BrkTil,3,4,,216,,0,540,756,4,961,756,0,1717,1,0,1,0,3,1,4,7,Typ,1,4,Detchd,1998-01-01,Unf,3,642,3,3,0,35,272,0,0,0,0,2,2006-01-01,WD,Abnorml,140000,11.84939770159144,169225.31207201458,185758.4611984648,210215.05403865472,179333.25920551605,176587.7967580308,179610.0422730102,199845.74518258244,167806.2815054121,145379.0210703379,150151.50128441202,128045.18682394264,169431.7229251908,143907.03933129748,176152.44902358553,173838.9885038167,175363.73826391206,178533.24392839923,169322.47974861524,132483.46274086222,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5,60,RL,84.0,14260,Pave,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000-01-01,2000-01-01,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,4,3,,655,,0,490,1145,5,1145,1053,0,2198,1,0,2,1,4,1,4,9,Typ,1,3,Attchd,2000-01-01,RFn,3,836,3,3,192,84,0,0,0,0,0,12,2008-01-01,WD,Normal,250000,12.429216196844383,231856.49381278295,187587.31645068835,281898.0769641446,180900.2161334178,177743.40189196885,182050.89910022676,203277.04698811582,170119.89785772323,209471.6590215569,210333.5613495419,219254.5623316537,169942.19953516845,172221.65343929594,177321.89317486083,179942.67210044138,176558.21861350903,179913.82264883327,169331.49421902694,199231.7335432684,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
6,50,RL,85.0,14115,Pave,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993-01-01,1995-01-01,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,3,3,Wood,4,3,,732,,0,64,796,5,796,566,0,1362,1,0,1,1,1,1,3,5,Typ,0,4,Attchd,1993-01-01,Unf,2,480,3,3,40,30,0,320,0,0,700,10,2009-01-01,WD,Normal,143000,11.870599909242044,141402.59631853417,185758.4611984648,158287.10317765392,179333.25920551605,176587.7967580308,179610.0422730102,140883.3934337158,167806.2815054121,210095.86972105512,211269.90813424034,189699.42330279542,169431.7229251908,171222.55659600082,176152.44902358553,172933.09738792837,175363.73826391206,178533.24392839923,169322.47974861524,198054.58963262377,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
7,20,RL,75.0,10084,Pave,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004-01-01,2005-01-01,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,4,3,PConc,5,3,,1369,,0,317,1686,5,1694,0,0,1694,1,0,2,0,3,1,4,7,Typ,1,4,Attchd,2004-01-01,RFn,2,636,3,3,255,57,0,0,0,0,0,8,2007-01-01,WD,Normal,307000,12.634603026569334,182466.04765618738,187497.16578693656,223318.84301118867,181854.0157285595,178286.82894767178,182422.8985545343,173896.57234662716,168960.11396163498,215087.49394043538,215639.7293194377,221947.83308264182,168800.81863802517,170744.766171846,177930.18077380542,174413.86578349545,177502.68903864766,180645.18653429346,265407.05378462886,199024.493440907,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
8,60,RL,80.0,10382,Pave,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973-01-01,1973-01-01,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4,3,,859,,32,216,1107,5,1107,983,0,2090,1,0,2,1,3,1,3,7,Typ,2,3,Attchd,1973-01-01,RFn,2,484,3,3,235,204,228,0,0,0,350,11,2009-01-01,WD,Normal,200000,12.206072645530174,235462.46639557104,187497.16578693656,185661.13555264717,194929.76932111816,178286.82894767178,182422.8985545343,206298.35982034856,168960.11396163498,155951.16320340757,159813.83556776508,147213.0388465542,168800.81863802517,170744.766171846,177930.18077380542,179588.35526481533,177502.68903864766,180645.18653429346,265407.05378462886,199024.493440907,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9,50,RM,51.0,6120,Pave,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931-01-01,1950-01-01,Gable,CompShg,BrkFace,Wd Shng,BrkFace,0.0,3,3,BrkTil,3,3,,0,,0,952,952,4,1022,752,0,1774,0,0,2,0,2,2,3,8,Min1,2,3,Detchd,1931-01-01,Unf,2,468,2,3,90,0,205,0,0,0,0,4,2008-01-01,WD,Abnorml,129900,11.77452020265869,144219.44051125445,123686.7360216862,123854.84616826354,130265.8304503812,178583.60913411377,182294.9984742077,143484.34585216886,170831.95883496347,180023.6634954193,154129.57936927414,127749.94283023692,170439.80277871882,144863.6812026117,178304.61558859114,175711.7479320638,177562.818510861,152401.6621363133,169635.87309320696,131681.9093723326,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,190,RL,50.0,7420,Pave,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939-01-01,1950-01-01,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,3,3,BrkTil,3,3,,851,,0,140,991,5,1077,0,0,1077,1,0,1,0,2,2,3,5,Typ,2,3,Attchd,1939-01-01,RFn,1,205,4,3,0,4,0,0,0,0,0,1,2008-01-01,WD,Normal,118000,11.678439903447801,135846.55132722575,187497.16578693656,130909.62326156678,122833.2509480184,163866.08996946207,134464.40451021848,137099.73383205943,168960.11396163498,146765.00308466723,147461.2604667647,129001.85433466171,168800.81863802517,170744.766171846,177930.18077380542,179588.35526481533,177502.68903864766,180645.18653429346,169442.10236645662,199024.493440907,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
