Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,zscore,MSSubClass_target_enc,MSZoning_target_enc,Neighborhood_target_enc,Condition1_target_enc,Condition2_target_enc,BldgType_target_enc,HouseStyle_target_enc,RoofStyle_target_enc,Exterior1st_target_enc,Exterior2nd_target_enc,Foundation_target_enc,SaleType_target_enc,SaleCondition_target_enc,LotConfig_target_enc,LandSlope_target_enc,Functional_target_enc,MasVnrType_target_enc,GarageType_target_enc,CentralAir_N,CentralAir_Y,PavedDrive_N,PavedDrive_P,PavedDrive_Y,LotShape_IR1,LotShape_IR2,LotShape_IR3,LotShape_Reg,Utilities_AllPub,Utilities_NoSeWa,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtExposure_None,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall
1,60,RL,65.0,8450,Pave,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003-01-01,2003-01-01,Gable,CompShg,VinylSd,VinylSd,BrkFace,196,4,3,PConc,4,3,GLQ,706,Unf,0,150,856,5,856,854,0,1710,1,0,2,1,3,1,4,8,Typ,0,4,Attchd,2003-01-01,RFn,2,548,3,3,0,61,0,0,0,0,0,2,2008-01-01,WD,Normal,208500,0.3703334392167798,242861.17128833788,192140.4886905827,196545.81931722641,184934.2195220277,181733.4349959794,186579.96456780235,210867.5381891463,172057.78287685383,213481.39406255822,214349.15087426855,226077.88022137442,173987.6003887277,175498.35820721005,176793.1023585533,180374.6693098701,183946.41354884257,173977.4958446567,203588.0265268703,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2,20,RL,80.0,9600,Pave,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976-01-01,1976-01-01,Gable,CompShg,MetalSd,MetalSd,BrkFace,0,3,3,CBlock,4,3,ALQ,978,Unf,0,284,1262,5,1262,0,0,1262,0,1,2,0,3,1,3,6,Typ,1,3,Attchd,1976-01-01,RFn,2,460,3,3,298,0,0,0,0,0,0,5,2007-01-01,WD,Normal,181500,-0.48251191458524123,184114.31012750248,190822.63039667328,206866.45953360767,145668.0942190868,180681.53851065293,185778.89631424958,174056.17108050353,170902.793076039,149152.2673895285,149289.16340192044,149175.89220882507,173250.85997574835,175696.38306722682,168795.2862576381,179604.677141225,182392.14794844048,172511.2545927356,203719.14639097417,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,60,RL,68.0,11250,Pave,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001-01-01,2002-01-01,Gable,CompShg,VinylSd,VinylSd,BrkFace,162,4,3,PConc,4,3,GLQ,486,Unf,0,434,920,5,920,866,0,1786,1,0,2,1,3,1,4,6,Typ,1,3,Attchd,2001-01-01,RFn,2,608,3,3,0,42,0,0,0,0,0,9,2008-01-01,WD,Normal,223500,0.5150125617367655,242861.17128833788,192140.4886905827,196545.81931722641,184934.2195220277,181733.4349959794,186579.96456780235,210867.5381891463,172057.78287685383,213481.39406255822,214349.15087426855,226077.88022137442,173987.6003887277,175498.35820721005,176793.1023585533,180374.6693098701,183946.41354884257,173977.4958446567,203588.0265268703,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4,70,RL,60.0,9550,Pave,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915-01-01,1970-01-01,Gable,CompShg,Wd Sdng,Wd Shng,BrkFace,0,3,3,BrkTil,3,4,ALQ,216,Unf,0,540,756,4,961,756,0,1717,1,0,1,0,3,1,4,7,Typ,1,4,Detchd,1998-01-01,Unf,3,642,3,3,0,35,272,0,0,0,0,2,2006-01-01,WD,Abnorml,140000,0.3836591478699364,174451.1244403033,191925.80193880785,214583.52330502289,185163.20235761424,181840.14435429464,185765.49400541733,209382.73240476946,173024.94176154427,147842.4766187789,174698.857914067,134130.44098577843,173156.7749954454,142617.28089685805,182773.74126300955,180150.96165943588,183843.44039975764,173473.4350568672,134929.81833967112,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5,60,RL,84.0,14260,Pave,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000-01-01,2000-01-01,Gable,CompShg,VinylSd,VinylSd,BrkFace,350,4,3,PConc,4,3,GLQ,655,Unf,0,490,1145,5,1145,1053,0,2198,1,0,2,1,4,1,4,9,Typ,1,3,Attchd,2000-01-01,RFn,3,836,3,3,192,84,0,0,0,0,0,12,2008-01-01,WD,Normal,250000,1.299325699608267,236535.4423042991,189772.0384814444,307789.7686042524,183624.4474363544,180789.40361355388,185083.46198713017,207719.191607084,171598.9745324658,213467.6379936724,214320.46730569776,223999.68052545053,173042.95920722766,174398.3419038756,181780.5024445148,179688.108060337,183289.00329243232,172172.48635921977,202204.7276042004,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
6,50,RL,85.0,14115,Pave,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993-01-01,1995-01-01,Gable,CompShg,VinylSd,VinylSd,BrkFace,0,3,3,Wood,4,3,GLQ,732,Unf,0,64,796,5,796,566,0,1362,1,0,1,1,1,1,3,5,Typ,0,4,Attchd,1993-01-01,Unf,2,480,3,3,40,30,0,320,0,0,700,10,2009-01-01,WD,Normal,143000,-0.2921446481115758,143749.0897909837,191925.80193880785,158458.15337990873,185163.20235761424,181840.14435429464,185765.49400541733,143675.92594752816,173024.94176154427,212956.08887786308,213349.97984493064,188380.6564765824,173156.7749954454,175769.36378286793,178004.31580896085,180150.96165943588,183843.44039975764,173473.4350568672,202740.10370762297,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
7,20,RL,75.0,10084,Pave,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004-01-01,2005-01-01,Gable,CompShg,VinylSd,VinylSd,Stone,186,4,3,PConc,5,3,GLQ,1369,Unf,0,317,1686,5,1694,0,0,1694,1,0,2,0,3,1,4,7,Typ,1,4,Attchd,2004-01-01,RFn,2,636,3,3,255,57,0,0,0,0,0,8,2007-01-01,WD,Normal,307000,0.33987467658099335,186530.65479001423,192140.4886905827,223669.6193796677,184934.2195220277,181733.4349959794,186579.96456780235,176621.86426553177,172057.78287685383,213481.39406255822,214349.15087426855,226077.88022137442,173987.6003887277,175498.35820721005,176793.1023585533,180374.6693098701,183946.41354884257,262345.1199555817,203588.0265268703,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
8,60,RL,80.0,10382,Pave,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973-01-01,1973-01-01,Gable,CompShg,HdBoard,HdBoard,Stone,240,3,3,CBlock,4,3,ALQ,859,BLQ,32,216,1107,5,1107,983,0,2090,1,0,2,1,3,1,3,7,Typ,2,3,Attchd,1973-01-01,RFn,2,484,3,3,235,204,228,0,0,0,350,11,2009-01-01,WD,Normal,200000,1.0937290518167084,242861.17128833788,192140.4886905827,188742.60915901655,200469.18922821456,181733.4349959794,186579.96456780235,210867.5381891463,172057.78287685383,166279.86193117432,169989.85315223166,150644.54201427253,173987.6003887277,175498.35820721005,181500.94309787193,180374.6693098701,183946.41354884257,262345.1199555817,203588.0265268703,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
9,50,RM,51.0,6120,Pave,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931-01-01,1950-01-01,Gable,CompShg,BrkFace,Wd Shng,BrkFace,0,3,3,BrkTil,3,3,Unf,0,Unf,0,952,952,4,1022,752,0,1774,0,0,2,0,2,2,3,8,Min1,2,3,Detchd,1931-01-01,Unf,2,468,2,3,90,0,205,0,0,0,0,4,2008-01-01,WD,Abnorml,129900,0.49216848975992566,146138.92029945826,126431.33112205505,130293.40626669553,138325.3172899147,180681.53851065293,185778.89631424958,146239.85963980705,170902.793076039,194984.06035665295,162576.794314891,134831.34058856312,173250.85997574835,148575.8451111406,176297.29673116092,179604.677141225,154982.02204948434,172511.2545927356,133973.39126272922,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,190,RL,50.0,7420,Pave,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939-01-01,1950-01-01,Gable,CompShg,MetalSd,MetalSd,BrkFace,0,3,3,BrkTil,3,3,GLQ,851,Unf,0,140,991,5,1077,0,0,1077,1,0,1,0,2,2,3,5,Typ,2,3,Attchd,1939-01-01,RFn,1,205,4,3,0,4,0,0,0,0,0,1,2008-01-01,WD,Normal,118000,-0.8346913575615222,139002.15317786922,192140.4886905827,125085.65274219013,143448.01384502504,166610.76588934613,139002.15317786922,129375.81085200427,172057.78287685383,149343.87548640856,149637.4978923754,132319.84223850467,173987.6003887277,175498.35820721005,181500.94309787193,180374.6693098701,183946.41354884257,173977.4958446567,203588.0265268703,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
